0.0000__64.0000, 0.8306__64.0000, 2.1873__64.0000, 2.5241__64.0000, 4.0641__64.0000, 4.6419__64.0000, 6.2617__64.0000, 6.4487__64.0000, 8.4798__64.0000, 8.6533__64.0000, 10.0157__64.0000, 10.4980__64.0000, 12.1884__64.0000, 13.2704__64.0000, 13.8676__64.0000, 15.2892__64.0000, 15.9667__64.0000, 16.2934__64.0000, 17.9627__64.0000, 18.6921__64.0000, 19.2748__64.0000, 20.9155__64.0000, 22.2569__64.0000, 23.0246__64.0000, 23.7571__64.0000, 25.1498__64.0000, 25.9625__64.0000, 27.9536__64.0000, 28.2378__64.0000, 29.8645__64.0000, 30.4448__64.0000, 31.0356__64.0000, 31.9560__64.0000, 33.0101__64.0000, 33.8957__64.0000, 34.3980__64.0000, 35.9191__64.0000, 37.5979__64.0000, 38.0127__64.0000, 38.7536__64.0000, 40.0317__64.0000, 41.2830__64.0000, 41.8442__64.0000, 42.9328__64.0000, 44.4142__64.0000, 45.0375__64.0000, 45.7698__64.0000, 46.6547__64.0000, 47.5786__64.0000, 48.4244__64.0000, 49.5434__64.0000, 50.6340__64.0000, 52.1392__64.0000, 52.6682__64.0000, 54.3373__64.0000, 55.0767__64.0000, 56.6013__64.0000, 57.2234__64.0000, 57.9071__64.0000, 58.9222__64.0000, 59.7641__64.0000, 61.1596__64.0000, 62.0659__64.0000, 63.0861__64.0000, 64.0000__64.0000, 
0.0000__53.6636, 1.0848__53.4643, 1.7950__52.8975, 2.9549__53.4756, 4.1255__53.5099, 4.8465__53.1754, 5.9199__53.5189, 6.7236__53.4651, 7.6129__53.5488, 8.2627__53.4925, 10.0216__53.4305, 10.7118__53.4340, 12.4128__53.4117, 12.7107__53.3566, 14.2206__53.3361, 15.1150__53.5827, 16.0055__52.8158, 17.0780__52.7710, 17.8350__53.2030, 19.5062__53.0738, 20.0663__53.3231, 21.0907__53.2641, 21.8894__53.3704, 22.8845__53.4198, 24.0162__53.6379, 25.2714__53.3725, 25.9328__53.2434, 27.1506__53.0158, 28.6546__52.9991, 29.2347__52.6342, 30.2674__52.5975, 31.1617__52.6840, 31.7329__52.9755, 33.1350__52.8422, 33.6903__52.5387, 35.0359__52.9123, 36.2233__52.8280, 37.1746__53.0610, 37.9678__52.8930, 39.0235__53.0940, 39.9995__52.6389, 41.0346__53.0132, 41.8119__53.1027, 42.7396__52.7828, 43.4656__53.1831, 45.1204__53.0030, 45.6673__53.0694, 46.9765__52.7081, 47.9604__52.8669, 48.6437__53.0648, 49.5346__52.6823, 51.3397__53.2054, 51.6762__52.9258, 53.1975__53.0382, 53.6344__53.2855, 54.5862__53.0410, 56.1872__52.8902, 56.7950__52.9573, 57.8067__53.0857, 58.4573__53.0205, 60.1327__53.3284, 60.7258__53.4934, 62.0963__53.0569, 63.0803__53.1565, 64.0000__53.2838, 
0.0000__52.0123, 1.1702__52.2073, 1.7854__52.5073, 2.4442__52.4166, 4.3180__52.5885, 4.7804__52.8396, 5.7455__52.8957, 7.0087__52.9176, 7.4881__52.5902, 8.7740__52.3523, 9.7757__52.0762, 11.1609__51.8946, 11.8904__52.1224, 12.8679__52.3250, 14.2361__52.0753, 14.9846__51.7013, 16.3584__52.1041, 16.8404__52.1946, 18.2352__52.0750, 19.2727__51.9395, 19.7227__51.8431, 21.1594__52.0695, 21.8345__52.1153, 22.8210__52.2192, 24.0773__52.0488, 25.2613__52.5102, 26.1650__52.3342, 27.5358__51.9101, 28.5304__51.7678, 29.4736__51.8368, 30.2314__51.7525, 30.9966__51.8546, 31.8558__51.7352, 32.9638__51.9493, 34.1610__51.8998, 34.8794__51.5389, 35.9605__51.9444, 37.0754__52.0708, 38.1081__52.2036, 38.9762__51.8123, 39.8553__52.0634, 40.5151__52.2763, 41.7992__51.9175, 42.4586__52.4510, 43.6948__52.1328, 44.9778__52.1938, 45.8288__51.9843, 47.0191__52.0570, 47.8415__52.0935, 48.6052__52.1338, 49.7489__52.3554, 50.9453__52.0754, 52.2431__52.2089, 52.7581__51.9171, 53.4208__51.9531, 55.0407__52.0869, 55.8952__52.2934, 56.8433__52.5350, 57.8570__52.2447, 58.5973__52.0949, 59.8194__51.9636, 60.9738__51.8603, 62.0992__52.0811, 63.2460__51.8670, 64.0000__51.6823, 
0.0000__51.6852, 0.9562__51.8302, 1.9013__51.6033, 2.7154__51.2604, 3.6223__51.4217, 4.7779__51.6251, 6.1138__51.1836, 6.7685__51.2279, 8.0480__51.2834, 8.8390__50.8650, 9.8656__50.8856, 11.0476__51.0346, 11.5942__51.1222, 13.0495__50.9873, 14.1491__51.3451, 15.3872__51.3001, 15.8032__51.0589, 17.4810__51.0114, 18.1919__50.5996, 19.3211__50.8187, 19.7767__50.8607, 20.5947__50.6645, 21.8436__51.2588, 23.0280__50.8512, 23.6767__50.9973, 25.2350__50.9815, 26.4176__50.7952, 27.6723__50.8521, 28.4720__51.0372, 29.5696__50.9751, 30.2022__51.0042, 30.8937__51.1293, 32.2705__50.9789, 32.5943__50.7350, 34.1567__51.0254, 34.9099__51.3549, 35.7994__51.0642, 37.2592__50.9920, 37.9989__50.8932, 38.9455__51.1645, 39.7137__51.0347, 40.7261__50.9715, 41.6795__51.2827, 42.4451__50.8487, 43.8182__51.1900, 45.2367__50.7992, 45.9536__50.8635, 46.6258__50.9214, 47.8873__51.2013, 48.4197__51.2595, 49.7135__51.0357, 50.9814__51.4244, 52.3299__51.1925, 52.9919__51.1585, 53.6523__50.6391, 54.4256__50.7223, 55.8208__51.1917, 56.8740__50.9409, 57.8195__51.3995, 58.9986__51.2271, 59.8700__50.9576, 60.8252__51.1056, 62.1685__50.9613, 63.1718__51.1867, 64.0000__51.4525, 
0.0000__50.5810, 0.9978__50.3632, 2.3557__50.4510, 2.7829__50.3757, 3.5068__50.2032, 4.7516__50.0950, 6.1730__50.3533, 6.8373__50.2186, 8.0678__50.2662, 9.2322__50.2411, 9.7533__49.9461, 10.9905__50.0894, 11.8402__49.8420, 12.6719__49.9390, 14.1029__50.0153, 15.2276__50.1752, 16.3338__50.1921, 17.2966__50.1073, 18.6023__50.2102, 18.9669__50.0570, 20.2368__50.0854, 20.5907__49.7475, 21.8656__49.5906, 22.9197__50.1978, 24.1223__49.7214, 24.9101__49.6794, 26.6184__49.9332, 27.2839__49.9942, 28.5153__50.1407, 29.4109__50.1844, 30.2396__50.1750, 31.2510__49.7208, 31.7235__50.0359, 33.1281__50.2246, 33.5091__49.9826, 34.8385__50.0570, 36.2536__50.0802, 36.9356__50.1243, 37.9853__50.5872, 38.9371__50.2361, 39.8210__50.1937, 40.7755__50.0582, 41.5044__49.8288, 42.7541__50.2784, 43.8253__49.6950, 45.1029__50.0788, 45.9272__50.2032, 46.4735__50.0861, 47.5809__50.2294, 48.6362__50.3708, 49.6835__50.2896, 51.1192__49.9753, 52.1707__50.2979, 53.3381__50.0716, 53.6804__50.1445, 54.3829__50.1121, 55.8586__49.8618, 56.7397__50.1404, 57.8460__49.7540, 58.7763__49.8743, 59.9416__50.2332, 60.8649__49.9833, 62.3234__49.8902, 62.8318__49.8089, 64.0000__49.7380, 
0.0000__49.0903, 1.2192__49.0522, 1.9446__49.2346, 2.9140__49.4487, 3.6093__49.3475, 5.0282__49.0688, 5.9169__48.8589, 7.0304__49.0699, 7.8788__49.0286, 9.2091__49.0941, 9.9902__49.1143, 10.9247__48.8020, 11.8890__49.0784, 12.6577__48.9070, 14.0296__48.8809, 15.1008__48.7972, 16.0101__48.8122, 17.4097__48.9983, 18.4318__48.9768, 19.0620__49.2182, 20.4094__48.9101, 20.8817__48.7477, 21.5945__48.8197, 23.0900__48.4092, 24.0230__48.5969, 25.1785__48.5349, 26.1978__49.0005, 27.6858__48.8789, 28.2760__48.8430, 29.3520__49.1013, 30.4204__48.9894, 31.2520__49.2815, 31.7450__48.9992, 32.8740__49.1804, 33.8525__49.4251, 34.6828__49.0216, 36.1521__49.4628, 36.8937__49.5774, 37.8003__49.1941, 39.2907__49.7350, 39.9900__49.2615, 40.9526__49.1922, 41.7660__49.0482, 42.7069__48.5097, 43.5965__49.1367, 44.9035__49.1237, 45.9797__49.1330, 46.6306__49.1233, 47.3390__48.9777, 48.6467__49.1147, 49.9764__48.8450, 50.7476__49.1880, 52.3870__49.0285, 53.2198__49.3774, 53.8747__49.1935, 54.3919__48.9185, 56.0181__48.9018, 56.4651__48.6559, 58.0554__49.0792, 58.8020__48.7113, 59.6828__48.5833, 61.1925__48.8478, 62.2795__48.7983, 63.0405__48.7586, 64.0000__48.6269, 
0.0000__48.4067, 1.2812__48.3961, 1.9544__48.1764, 2.6075__48.0834, 4.0946__47.9652, 4.7794__48.0545, 6.2801__48.0557, 6.4734__47.9502, 8.2961__48.2349, 8.9846__48.0553, 10.2666__47.9489, 10.9308__47.9047, 11.5470__47.9616, 13.2707__48.0077, 13.9058__47.5920, 15.4231__47.7041, 15.8067__47.7173, 17.1625__47.8478, 18.1384__48.4394, 19.3271__48.0484, 20.3462__48.1358, 21.0453__48.1603, 21.8088__47.7314, 22.9126__47.8530, 24.3290__47.6369, 24.8845__47.6926, 25.9346__47.8145, 27.5306__48.0810, 28.2185__48.2967, 29.1019__48.1246, 30.5133__48.3397, 31.0923__48.1084, 32.0488__48.2350, 32.2215__48.2480, 34.2566__48.2287, 34.7834__48.1890, 35.6914__48.1284, 37.0616__48.3544, 38.0149__48.3420, 39.0283__47.9101, 40.2257__48.4976, 41.1739__48.0859, 42.0811__47.9771, 42.5078__48.2480, 43.4731__48.0662, 45.1056__48.0721, 45.7003__48.1731, 46.8112__48.2885, 47.3423__48.1466, 48.9891__47.8739, 49.7469__48.0148, 50.8330__47.8008, 52.0911__48.1637, 53.2657__48.1010, 53.9330__48.5511, 55.1234__48.2468, 55.7877__48.0336, 57.0056__48.1350, 57.7587__47.5379, 59.1908__47.7842, 59.5958__47.6733, 61.0132__47.7720, 62.1943__48.0879, 63.1296__48.0432, 64.0000__48.0807, 
0.0000__47.0610, 1.1472__47.2616, 2.2549__47.3274, 2.6429__47.0549, 4.1814__47.1884, 4.9359__46.8721, 6.0341__47.3521, 7.0315__47.2451, 7.8672__46.6584, 9.0498__47.0922, 10.3353__47.0879, 10.9699__47.0338, 11.5567__46.9264, 13.2164__47.1342, 14.3306__47.0224, 14.7450__47.0921, 16.2333__47.2401, 16.7774__46.9032, 18.1300__46.8353, 19.4802__47.1256, 20.3087__46.9660, 20.9859__47.1355, 22.0865__47.5206, 23.2639__46.7157, 24.3124__46.5852, 24.8908__46.5327, 25.8213__46.7281, 27.2087__46.8649, 28.0644__46.7943, 29.2826__46.9546, 30.2656__47.2160, 31.3909__47.3895, 31.6327__47.4608, 32.6112__47.5515, 33.8257__47.1621, 35.1235__47.2139, 35.7289__46.9919, 36.8184__46.9888, 38.0403__47.0648, 39.1919__47.2253, 39.7212__46.9527, 41.3248__47.2304, 41.7535__47.6537, 42.6601__47.5366, 43.8883__47.1670, 44.8598__47.0065, 45.8270__47.0135, 46.5460__46.9210, 47.5055__46.8661, 48.8368__47.2011, 50.0083__46.8577, 50.7945__46.8646, 51.9640__46.7388, 52.9841__47.1706, 54.2097__46.6478, 54.7650__46.6807, 56.1943__46.7801, 56.9317__46.4468, 57.9555__46.8023, 58.8688__46.7777, 59.8628__46.9873, 60.9325__46.6047, 61.9691__46.6347, 63.2769__46.7300, 64.0000__46.5163, 
0.0000__46.1937, 1.2339__45.9212, 1.9886__46.2644, 3.2984__46.1497, 3.9725__45.8329, 4.7755__46.3316, 5.9171__46.1427, 7.1133__46.1105, 8.0173__46.3912, 8.9441__45.9698, 10.0563__46.3721, 11.1900__46.4675, 11.7489__46.0970, 13.1401__45.8397, 14.1291__46.4422, 15.1491__46.1856, 15.7678__45.8567, 17.5026__46.0817, 18.0618__45.5531, 19.1080__45.8279, 20.2776__46.3724, 20.7588__46.3753, 22.2010__45.7680, 23.5935__46.2288, 24.3327__46.1477, 25.0657__45.9821, 25.5784__45.8697, 27.4656__45.9142, 28.0255__45.7402, 29.2217__45.7420, 29.9643__46.0441, 31.2653__46.3456, 31.8521__46.2620, 32.8703__45.7846, 33.9267__45.8367, 34.7832__46.0987, 35.8659__46.4835, 36.6735__46.3065, 38.4551__46.0252, 38.9813__45.9002, 40.0351__46.0599, 40.6311__46.0617, 41.8582__46.0352, 42.7739__46.1095, 43.8778__46.4862, 44.9531__46.6857, 45.9594__46.5146, 46.8944__46.1987, 47.4337__45.8980, 48.7255__45.6993, 50.0974__46.0553, 50.7386__46.0120, 52.1572__46.0118, 52.8029__45.4917, 54.0001__45.8441, 54.8567__45.9678, 56.4695__45.7089, 56.7866__45.8478, 57.9789__45.6678, 58.6853__45.7875, 60.0104__45.6631, 61.0940__45.7506, 61.9690__45.6006, 63.2161__45.5867, 64.0000__45.8392, 
0.0000__44.6941, 1.1029__44.8983, 1.8544__44.8974, 3.0126__45.0682, 3.8924__45.6876, 4.6237__45.2545, 6.3217__45.3749, 6.7119__45.3220, 8.0971__44.9489, 8.9759__45.3005, 10.0487__44.8772, 11.0790__45.1067, 12.2236__45.1198, 13.0056__44.9992, 13.8680__44.8872, 15.4150__45.4044, 16.0551__45.1015, 17.5336__44.8789, 18.1744__45.1083, 18.7231__45.1027, 20.2358__45.0331, 20.8905__44.9025, 22.2951__45.1304, 23.2314__44.8723, 24.6207__44.7473, 24.8146__44.9391, 26.1535__45.0485, 26.8823__45.0690, 28.5336__45.1407, 28.8414__45.1202, 30.1001__45.2741, 30.9945__45.0747, 32.3297__45.1380, 32.6660__45.3790, 34.0467__45.3375, 34.4115__45.2879, 35.8140__45.3713, 37.1725__44.9674, 38.1859__45.2391, 39.1140__45.5216, 39.7903__45.4245, 41.0940__45.2752, 41.7780__45.0035, 42.4708__45.1586, 43.8266__45.0760, 44.8422__44.9585, 46.0118__45.3351, 47.1037__45.5518, 47.8979__45.2025, 48.5055__45.0128, 49.9874__45.1629, 50.9660__45.0912, 51.9913__45.0376, 53.0515__45.2460, 53.6086__44.9251, 55.4271__44.6416, 55.7857__45.0168, 56.9887__45.1491, 57.8113__45.3694, 59.1843__44.9328, 59.4967__44.8687, 61.5913__44.8654, 62.0202__44.5785, 63.1424__44.6036, 64.0000__44.4630, 
0.0000__44.5594, 1.0626__44.3990, 1.8499__44.3862, 2.8962__44.3500, 3.7272__43.8109, 5.0814__44.1396, 5.8285__44.1433, 7.2772__44.1478, 7.8263__44.1703, 9.0889__43.9844, 10.1068__44.1652, 10.8664__44.1820, 12.2723__44.2435, 13.1244__44.1947, 14.0457__44.1444, 15.2009__43.7459, 16.1656__43.8271, 17.1263__44.3247, 18.1583__44.3884, 18.9832__44.1399, 20.0270__44.1297, 21.0872__44.2469, 22.1129__43.8593, 23.7177__43.8241, 24.0809__44.2046, 25.2863__44.0651, 25.7711__43.8985, 27.1425__43.9811, 28.0543__44.2513, 29.0724__44.5174, 30.1246__43.9586, 31.0171__43.9249, 31.6194__44.4595, 33.2212__44.2189, 33.8132__44.1562, 34.4988__44.4659, 35.6927__44.3988, 37.3602__44.3350, 37.7523__44.3430, 39.3354__44.3261, 39.8260__44.1760, 41.1525__44.2775, 41.7295__44.6165, 42.5409__44.4319, 43.9814__44.2301, 44.8061__44.1941, 45.7428__44.1065, 47.0200__44.1693, 48.1074__44.5225, 48.8363__44.1703, 49.8337__43.9175, 50.9757__44.1768, 52.1246__44.0473, 52.7989__43.8411, 54.4422__44.0013, 55.0320__44.1038, 55.8829__44.0570, 56.6877__43.9691, 58.1148__43.6944, 59.0305__44.3292, 60.2043__43.8369, 61.3885__44.0082, 62.3243__44.0693, 63.0435__43.8158, 64.0000__44.0475, 
0.0000__42.9212, 1.0719__43.4071, 1.8834__43.2667, 3.1082__43.1889, 3.9695__43.2473, 4.7990__43.0782, 6.1627__43.0967, 7.1000__43.0171, 8.1155__42.8399, 8.8312__42.8187, 10.0139__42.9346, 10.9594__42.9786, 12.1185__42.9771, 12.9837__43.2063, 14.4758__42.9078, 15.0687__43.1119, 16.0599__43.2917, 16.9430__42.7014, 17.9603__42.9336, 19.3416__42.9311, 19.9786__42.7155, 20.9785__42.8828, 22.7060__42.7748, 23.3028__43.1617, 24.2093__43.1358, 24.9123__43.3997, 26.1587__43.4738, 26.6942__43.2848, 27.8275__43.7011, 29.1611__43.2622, 30.2402__43.4644, 30.9424__43.5066, 31.6146__43.1069, 33.0969__43.3827, 33.6984__43.7498, 34.4957__43.4115, 35.9201__43.0928, 37.0859__43.2931, 38.1897__43.0997, 38.7021__43.2021, 40.2935__43.3769, 40.5858__43.3697, 41.8984__43.4326, 42.9548__43.0765, 43.8614__43.0128, 44.7361__43.1716, 46.0962__43.0127, 47.0651__42.6532, 47.6822__42.5874, 48.9923__42.9813, 49.7820__43.1831, 51.2936__42.6975, 51.7229__42.8517, 53.4034__42.9236, 54.1116__42.7033, 54.8186__42.9992, 56.1897__42.9254, 56.6854__42.7485, 58.0549__43.2324, 59.1515__42.4842, 59.8728__42.7216, 61.0012__43.1990, 62.3341__43.1097, 63.0270__43.3505, 64.0000__43.0038, 
0.0000__42.3145, 0.9128__42.0209, 2.1434__41.9622, 2.9161__42.0351, 3.9567__42.0998, 5.1404__41.9594, 5.9669__41.8685, 7.0191__42.3171, 8.4375__42.1771, 8.9018__41.7767, 10.0360__41.6511, 10.6507__41.8925, 12.0084__42.4021, 13.2479__41.9215, 14.0087__42.0779, 15.0998__42.2277, 16.1103__41.8658, 17.3045__41.9898, 18.1262__41.6128, 19.1784__41.6873, 19.9289__41.9990, 21.1088__41.8185, 22.3551__41.7451, 22.9421__42.2308, 24.3712__42.4545, 24.6789__42.2857, 26.0190__42.2604, 26.6025__42.7516, 28.0239__42.2186, 28.9937__42.5770, 30.1508__42.6339, 31.2308__42.4280, 31.7558__42.3036, 32.6184__42.3354, 33.8304__42.2519, 35.0868__42.0049, 35.7460__41.9309, 36.9985__42.1098, 38.3451__42.2486, 38.5932__42.1185, 40.1027__42.3718, 40.6675__42.4973, 42.0753__42.0457, 42.8345__42.3111, 43.8885__42.5152, 45.0168__42.0682, 46.1263__41.8935, 47.0163__42.2823, 47.9856__42.0558, 48.4441__41.8468, 50.1362__41.8782, 51.2383__42.1005, 51.8967__41.8934, 53.1221__41.8647, 54.0350__42.3673, 54.8039__42.0395, 56.3424__41.9590, 56.7994__41.8620, 57.7955__41.4612, 59.2557__42.0241, 59.7716__41.8292, 60.9699__41.4831, 61.9192__41.9581, 63.2272__41.6559, 64.0000__41.7952, 
0.0000__40.7169, 1.2405__40.7692, 1.9387__40.7937, 2.8348__41.0573, 4.0165__41.0090, 5.1793__41.1528, 5.8815__41.2682, 7.0808__40.7938, 8.1930__41.1167, 9.4736__41.1105, 9.7047__41.0883, 10.8572__41.1202, 11.7577__40.5998, 13.2688__41.3812, 14.1564__41.0229, 15.3177__41.1879, 16.4843__40.9899, 16.9203__40.8197, 18.3384__41.2885, 18.9311__41.1930, 20.2362__40.8597, 20.8700__41.0433, 22.2856__41.2759, 23.1252__40.8935, 23.6869__41.1228, 25.1521__41.6312, 25.8748__41.2751, 26.8501__40.7703, 27.6064__41.2529, 29.0339__41.2337, 30.0912__41.2343, 31.3390__41.4615, 31.6456__41.4839, 33.0840__41.1507, 33.6383__41.0096, 35.2274__41.3224, 35.6151__41.3792, 37.0708__41.2190, 38.0804__41.5214, 39.2783__41.3809, 39.7437__40.8668, 40.7753__40.9546, 41.9368__41.4106, 43.0061__41.1724, 43.8874__40.7141, 45.0396__41.0105, 46.2632__41.0004, 46.8368__40.7602, 47.9428__41.1543, 48.7577__41.0817, 50.1561__40.7827, 51.1284__40.6306, 52.0531__40.8452, 52.9348__40.8661, 53.7415__40.8095, 55.1868__41.0836, 56.0396__41.2099, 57.2390__41.1197, 57.7506__41.0292, 59.0505__40.8687, 60.1959__41.1440, 61.4354__40.7957, 61.8818__40.6228, 63.3943__40.8424, 64.0000__40.5404, 
0.0000__39.8360, 1.0679__39.9462, 1.8842__40.1334, 2.8651__39.8390, 4.1954__39.6859, 4.5991__39.8336, 6.1481__40.0828, 7.4386__39.9158, 8.0790__39.5411, 9.1648__39.9198, 9.8822__40.0775, 10.9418__39.7636, 11.8240__40.0008, 12.9109__39.5643, 14.2582__39.9929, 15.0073__40.0781, 16.6472__39.9066, 16.9591__39.7979, 17.8670__39.6778, 19.2113__39.9907, 20.0848__40.1889, 20.7937__40.2772, 22.0623__39.8799, 23.1245__40.5777, 23.8042__40.2992, 24.8426__39.8706, 26.2984__40.3808, 26.9281__40.4370, 27.3831__40.1630, 29.0996__40.3918, 30.1578__40.2998, 30.9494__40.5220, 32.2607__40.2703, 33.0691__40.1093, 33.7363__40.1638, 34.9394__39.9878, 35.7832__40.0741, 36.8086__40.2144, 38.3029__40.0431, 39.2288__40.3038, 39.9872__40.5293, 40.5537__40.2623, 42.1224__39.9536, 43.0457__40.1833, 44.0978__40.3965, 45.0690__40.0136, 45.9746__40.2034, 47.0493__40.4798, 47.6367__40.1699, 48.9669__40.4208, 50.5564__40.1754, 50.9086__40.2127, 51.9953__40.2985, 52.9131__40.2918, 53.7387__40.3362, 55.0834__40.0962, 56.3512__39.8158, 57.1032__39.9113, 57.8294__40.0908, 59.0935__40.0495, 60.3278__39.6215, 61.1528__39.9662, 61.9660__40.2599, 63.3520__39.7467, 64.0000__40.0219, 
0.0000__38.8464, 0.9389__38.8319, 1.7080__38.9233, 3.0893__39.1144, 4.0561__39.3247, 4.9851__39.0226, 6.2388__38.4365, 6.7991__38.7659, 8.5081__39.0868, 8.5772__38.7893, 10.5003__38.9620, 10.8769__38.8793, 11.6532__38.7859, 13.1102__39.0859, 13.6998__38.9884, 15.4483__39.1472, 16.4490__39.1608, 17.2217__39.3107, 17.9089__39.2090, 19.3781__38.9364, 19.9891__38.7439, 20.9468__38.9820, 21.8508__39.2609, 23.0994__38.8992, 23.8455__39.1961, 24.8079__39.4089, 25.8846__39.3576, 27.0006__39.6550, 27.7029__39.6147, 29.0068__39.1088, 30.1169__39.2555, 31.0232__39.0223, 32.1364__39.1034, 33.0289__39.4285, 33.9318__39.2449, 34.9728__39.1242, 35.6231__39.1294, 36.8603__39.0343, 38.1682__39.2826, 38.9716__39.3770, 39.7770__39.2124, 40.8892__39.3360, 42.0973__39.2479, 42.8932__39.2647, 44.0363__39.0977, 45.1473__39.6134, 45.9482__39.3861, 47.0512__39.1010, 47.7621__39.3234, 49.1090__38.8073, 50.2192__39.4117, 51.2380__39.3328, 52.0822__38.9492, 52.6754__39.0381, 53.9392__38.9618, 55.0535__38.9955, 56.4853__39.0145, 56.7738__39.1786, 58.0829__39.2268, 59.3408__38.6041, 60.0674__39.1810, 60.8827__39.2758, 61.8008__38.5298, 63.3096__39.2241, 64.0000__38.9003, 
0.0000__38.1291, 1.0983__37.9443, 1.6568__37.8393, 2.7681__37.9397, 3.9014__38.1161, 5.4259__38.1129, 6.2279__38.3574, 7.1744__37.8109, 8.0722__38.0921, 9.0769__38.2683, 9.7075__37.9852, 11.1683__38.4059, 11.7202__37.9950, 12.8557__37.8985, 14.0821__37.9944, 14.8579__38.0181, 16.6483__38.1496, 16.7603__38.3431, 18.6346__38.2787, 19.2384__38.1778, 20.1252__38.4736, 20.8693__38.2585, 21.6213__37.9206, 22.9476__38.5725, 23.9026__38.3224, 24.4239__38.2019, 25.9858__38.5857, 26.8443__38.3578, 27.7154__38.3207, 29.1501__38.6067, 29.9967__38.4558, 31.4277__38.4095, 31.7501__38.2508, 33.4230__38.0518, 33.7205__38.1318, 35.1083__38.4935, 35.7029__38.2972, 37.0516__38.1027, 37.8244__37.9912, 39.0355__38.4040, 39.7923__38.4503, 41.1157__37.9399, 41.6704__38.0998, 43.1290__38.3432, 43.9620__38.3054, 45.1466__37.8220, 46.2093__37.9431, 46.8987__38.1134, 47.6898__37.9988, 49.2208__38.2420, 49.8006__38.0802, 51.4795__38.4634, 52.3031__38.4677, 52.7092__38.1497, 54.1343__38.1002, 55.2393__37.6961, 55.8953__38.0850, 57.0575__38.1990, 58.1703__37.7056, 59.2335__38.0863, 59.7787__38.0287, 61.4454__38.1146, 62.0592__37.9162, 63.2844__37.7648, 64.0000__38.1403, 
0.0000__36.8967, 0.9618__37.2529, 1.7209__37.4487, 2.6971__37.2748, 4.2125__36.8791, 5.0162__36.9502, 6.1152__36.9990, 7.4683__37.3450, 7.9222__37.0875, 8.8775__37.1680, 9.9182__37.4342, 10.8946__36.9359, 12.1087__37.2350, 12.9722__36.8231, 13.8227__36.8968, 14.9777__37.0171, 16.2132__37.4586, 17.1600__37.4285, 18.1812__37.1807, 19.2385__37.6764, 20.2182__37.1779, 21.0538__37.4254, 21.9192__37.3570, 22.5149__36.9294, 24.0960__37.6474, 24.6089__37.4503, 25.8883__37.0341, 26.8354__37.4430, 27.8267__37.3991, 29.0117__37.0798, 30.4335__37.0021, 31.0473__37.0472, 32.3113__37.0535, 32.9735__37.1432, 34.1563__37.0336, 34.6326__36.7369, 35.8150__37.2134, 37.0814__37.2366, 37.7459__37.3867, 38.9654__37.1251, 39.9087__36.9185, 41.0264__37.4357, 41.9175__37.1342, 42.8388__36.8286, 44.1605__36.9334, 45.1611__37.2149, 46.1273__37.1652, 46.7706__37.1676, 48.3903__36.7840, 48.6998__36.6843, 50.2056__37.1821, 50.9763__36.9171, 52.2684__37.1965, 52.9602__37.2515, 54.0874__37.0646, 55.3593__37.3261, 55.6928__37.0745, 57.1455__37.0392, 58.1115__37.3686, 59.0299__37.2959, 60.1657__37.3768, 61.2532__37.1558, 61.9998__37.2395, 63.4645__37.3477, 64.0000__37.0882, 
0.0000__36.3724, 0.6834__36.2864, 1.7309__36.2151, 2.9998__36.1624, 4.3126__36.1119, 4.9477__36.0910, 5.9385__36.2257, 7.3408__36.2247, 8.0871__36.4077, 8.7791__36.1557, 9.8652__35.8862, 11.1703__36.1431, 12.1219__35.7063, 13.0244__35.9282, 13.7127__35.8793, 15.0255__35.8414, 15.6638__35.9139, 17.2935__36.4134, 18.1694__36.5484, 19.1825__36.0931, 20.3058__36.5629, 21.1481__36.0997, 22.0255__36.3350, 22.6785__36.4459, 23.7369__35.9614, 24.8869__36.1987, 25.6890__36.4252, 27.0251__36.0248, 28.1567__35.7548, 28.7139__35.9160, 30.3975__36.4345, 31.0700__36.3928, 32.4510__36.1784, 33.0595__35.9102, 33.9928__36.2446, 34.9499__36.4140, 35.6823__35.7599, 36.8307__36.0388, 37.9651__35.8910, 39.1234__36.1069, 40.0329__36.0919, 41.0677__35.6222, 42.1140__35.7790, 42.6916__35.9170, 44.2632__35.9111, 45.1830__35.5461, 45.9335__35.9106, 47.2061__35.6890, 48.0036__35.8854, 48.7995__36.2318, 49.7723__35.9114, 51.1027__36.3824, 51.8994__36.2222, 53.1155__36.1279, 54.2174__35.9923, 55.2005__35.9472, 55.9246__36.1254, 57.0298__35.9206, 58.0171__35.8267, 59.2028__35.9910, 59.9234__36.0193, 61.3868__36.5524, 62.0989__36.2268, 63.2883__36.2694, 64.0000__36.9238, 
